onset	duration	color_type	report_type	timing_type	score_eval
35.535266	0	6	Report	Stim	1
42.858793	0	6	Report	Eval	1
45.52624	0	7	No_Report	Stim	9999
52.884078	0	7	No_Report	Eval	9999
55.025586	0	3	Report	Stim	1
62.349936	0	3	Report	Eval	1
65.52474	0	9	No_Report	Stim	9999
72.899229	0	9	No_Report	Eval	9999
75.524019	0	1	No_Report	Stim	9999
82.857757	0	1	No_Report	Eval	9999
85.024253	0	8	No_Report	Stim	9999
92.365416	0	8	No_Report	Eval	9999
95.023547	0	2	No_Report	Stim	9999
102.364664	0	2	No_Report	Eval	9999
105.022728	0	9	No_Report	Stim	9999
112.380571	0	9	No_Report	Eval	9999
115.021982	0	7	No_Report	Stim	9999
122.379806	0	7	No_Report	Eval	9999
125.021183	0	4	No_Report	Stim	9999
132.370714	0	4	No_Report	Eval	9999
135.520392	0	4	No_Report	Stim	9999
142.869919	0	4	No_Report	Eval	9999
145.019759	0	1	Report	Stim	-4
152.34514	0	1	Report	Eval	-4
155.519965	0	7	No_Report	Stim	9999
162.869344	0	7	No_Report	Eval	9999
165.519202	0	1	Report	Stim	-4
172.843588	0	1	Report	Eval	-4
175.018487	0	9	Report	Stim	3
182.342879	0	9	Report	Eval	3
185.026056	0	6	No_Report	Stim	9999
192.367166	0	6	No_Report	Eval	9999
195.025304	0	5	Report	Stim	3
202.349694	0	5	Report	Eval	3
205.52446	0	8	No_Report	Stim	9999
212.865614	0	8	No_Report	Eval	9999
215.024787	0	8	No_Report	Stim	9999
222.382561	0	8	No_Report	Eval	9999
225.024023	0	6	Report	Stim	2
232.348468	0	6	Report	Eval	2
235.023268	0	1	No_Report	Stim	9999
242.381045	0	1	No_Report	Eval	9999
245.522455	0	5	Report	Stim	-3
252.846918	0	5	Report	Eval	-3
255.521633	0	2	Report	Stim	-2
262.846155	0	2	Report	Eval	-2
265.520951	0	3	No_Report	Stim	9999
272.870333	0	3	No_Report	Eval	9999
275.520196	0	3	Report	Stim	4
282.845643	0	3	Report	Eval	4
285.520437	0	1	No_Report	Stim	9999
292.853215	0	1	No_Report	Eval	9999
295.51963	0	6	Report	Stim	-3
302.845125	0	6	Report	Eval	-3
305.519922	0	4	Report	Stim	3
312.844321	0	4	Report	Eval	3
315.519116	0	8	Report	Stim	-1
322.84353	0	8	Report	Eval	-1
325.018358	0	4	No_Report	Stim	9999
332.367885	0	4	No_Report	Eval	9999
335.525894	0	9	No_Report	Stim	9999
342.883755	0	9	No_Report	Eval	9999
345.525173	0	5	No_Report	Stim	9999
352.883994	0	5	No_Report	Eval	9999
355.025437	0	3	No_Report	Stim	9999
362.374942	0	3	No_Report	Eval	9999
365.024743	0	7	No_Report	Stim	9999
372.374182	0	7	No_Report	Eval	9999
375.023905	0	7	Report	Stim	4
382.348416	0	7	Report	Eval	4
385.523185	0	9	Report	Stim	-2
392.847572	0	9	Report	Eval	-2
395.022403	0	4	Report	Stim	-3
402.34691	0	4	Report	Eval	-3
405.021711	0	3	Report	Stim	3
412.346095	0	3	Report	Eval	3
415.021904	0	2	Report	Stim	3
422.35473	0	2	Report	Eval	3
425.521096	0	7	Report	Stim	-3
432.845537	0	7	Report	Eval	-3
435.520399	0	2	No_Report	Stim	9999
442.869841	0	2	No_Report	Eval	9999
445.01968	0	1	Report	Stim	2
452.344063	0	1	Report	Eval	2
455.518826	0	4	No_Report	Stim	9999
462.868263	0	4	No_Report	Eval	9999
465.018105	0	2	No_Report	Stim	9999
472.375938	0	2	No_Report	Eval	9999
475.525602	0	2	No_Report	Stim	9999
482.876139	0	2	No_Report	Eval	9999
485.025978	0	5	No_Report	Stim	9999
492.37542	0	5	No_Report	Eval	9999
495.525134	0	4	Report	Stim	3
502.84962	0	4	Report	Eval	3
505.024388	0	7	Report	Stim	2
512.348835	0	7	Report	Eval	2
515.023632	0	6	Report	Stim	3
522.348072	0	6	Report	Eval	3
525.522905	0	8	No_Report	Stim	9999
532.872344	0	8	No_Report	Eval	9999
535.022123	0	9	No_Report	Stim	9999
542.35496	0	9	No_Report	Eval	9999
545.522389	0	2	Report	Stim	-2
552.847832	0	2	Report	Eval	-2
555.022602	0	8	Report	Stim	-4
562.347063	0	8	Report	Eval	-4
565.521818	0	7	Report	Stim	3
572.846314	0	7	Report	Eval	3
575.521064	0	5	No_Report	Stim	9999
582.870556	0	5	No_Report	Eval	9999
585.020395	0	5	Report	Stim	4
592.344765	0	5	Report	Eval	4
595.019635	0	9	Report	Stim	-3
602.344032	0	9	Report	Eval	-3
605.518838	0	8	Report	Stim	-1
612.843221	0	8	Report	Eval	-1
615.526413	0	3	No_Report	Stim	9999
622.876842	0	3	No_Report	Eval	9999
625.026694	0	4	No_Report	Stim	9999
632.376048	0	4	No_Report	Eval	9999
635.525895	0	6	No_Report	Stim	9999
642.875335	0	6	No_Report	Eval	9999
645.025125	0	2	Report	Stim	-2
652.349618	0	2	Report	Eval	-2
655.024364	0	6	No_Report	Stim	9999
662.373846	0	6	No_Report	Eval	9999
665.523618	0	6	No_Report	Stim	9999
672.872999	0	6	No_Report	Eval	9999
675.522863	0	9	Report	Stim	-3
682.84824	0	9	Report	Eval	-3
685.023074	0	9	Report	Stim	4
692.34751	0	9	Report	Eval	4
695.522297	0	3	Report	Stim	-3
702.84674	0	3	Report	Eval	-3
705.521534	0	5	Report	Stim	3
712.84603	0	5	Report	Eval	3
715.020805	0	7	Report	Stim	2
722.345308	0	7	Report	Eval	2
725.020058	0	8	No_Report	Stim	9999
732.361222	0	8	No_Report	Eval	9999
735.019282	0	5	Report	Stim	-1
742.343795	0	5	Report	Eval	-1
745.018542	0	1	No_Report	Stim	9999
752.360699	0	1	No_Report	Eval	9999
755.018831	0	3	Report	Stim	-3
762.34321	0	3	Report	Eval	-3
765.026336	0	8	Report	Stim	-2
772.350853	0	8	Report	Eval	-2
775.525534	0	1	Report	Stim	-3
782.850008	0	1	Report	Eval	-3
785.024891	0	1	Report	Stim	4
792.350338	0	1	Report	Eval	4
795.025057	0	2	No_Report	Stim	9999
802.357907	0	2	No_Report	Eval	9999
805.02437	0	4	Report	Stim	3
812.34882	0	4	Report	Eval	3
815.023613	0	5	No_Report	Stim	9999
822.365722	0	5	No_Report	Eval	9999
