onset	duration	color_type	report_type	timing_type	score_eval
35.019316	0	2	No_Report	Stim	9999
42.376619	0	2	No_Report	Eval	9999
45.527226	0	8	Report	Stim	-3
52.851304	0	8	Report	Eval	-3
55.52592	0	5	No_Report	Stim	9999
62.87692	0	5	No_Report	Eval	9999
65.518273	0	1	No_Report	Stim	9999
72.868271	0	1	No_Report	Eval	9999
75.026415	0	8	No_Report	Stim	9999
82.367009	0	8	No_Report	Eval	9999
85.525035	0	4	Report	Stim	-2
92.849987	0	4	Report	Eval	-2
95.524732	0	8	No_Report	Stim	9000
102.866433	0	8	No_Report	Eval	9000
105.524417	0	6	Report	Stim	2
112.848402	0	6	Report	Eval	2
115.024176	0	4	Report	Stim	-1
122.348177	0	4	Report	Eval	-1
125.522807	0	7	No_Report	Stim	9999
132.864512	0	7	No_Report	Eval	9999
135.02256	0	3	Report	Stim	-2
142.354871	0	3	Report	Eval	-2
145.022151	0	9	Report	Stim	-4
152.346248	0	9	Report	Eval	-4
155.02089	0	8	Report	Stim	2
162.345927	0	8	Report	Eval	2
165.020634	0	7	No_Report	Stim	9999
172.370671	0	7	No_Report	Eval	9999
175.520263	0	8	Report	Stim	3
182.844302	0	8	Report	Eval	3
185.018949	0	8	No_Report	Stim	9999
192.377309	0	8	No_Report	Eval	9999
195.518584	0	9	No_Report	Stim	9999
202.868611	0	9	No_Report	Eval	9999
205.018404	0	1	Report	Stim	3
212.342442	0	1	Report	Eval	3
215.525362	0	3	Report	Stim	-4
222.850357	0	3	Report	Eval	-4
225.52505	0	4	Report	Stim	4
232.850097	0	4	Report	Eval	4
235.024769	0	4	No_Report	Stim	9999
242.365515	0	4	No_Report	Eval	9999
245.524437	0	2	Report	Stim	-2
252.848477	0	2	Report	Eval	-2
255.523127	0	9	Report	Stim	-2
262.848169	0	9	Report	Eval	-2
265.022888	0	6	No_Report	Stim	9999
272.413584	0	6	No_Report	Eval	9999
275.522509	0	8	No_Report	Stim	9999
282.854885	0	8	No_Report	Eval	9999
285.021267	0	3	Report	Stim	-4
292.346274	0	3	Report	Eval	-4
295.520897	0	3	Report	Stim	4
302.845869	0	3	Report	Eval	4
305.020654	0	2	Report	Stim	-3
312.344694	0	2	Report	Eval	-3
315.019343	0	7	Report	Stim	-4
322.344354	0	7	Report	Eval	-4
325.518918	0	7	Report	Stim	4
332.852346	0	7	Report	Eval	4
335.018655	0	9	No_Report	Stim	9999
