onset	duration	color_type	report_type	timing_type	score_eval
35.020002	0	2	No_Report	Stim	9999
42.352764	0	2	No_Report	Eval	9999
45.519211	0	8	Report	Stim	9000
52.910398	0	8	Report	Eval	9000
55.526819	0	5	No_Report	Stim	9999
62.868026	0	5	No_Report	Eval	9999
65.534487	0	1	No_Report	Stim	9999
72.917194	0	1	No_Report	Eval	9999
75.025492	0	8	No_Report	Stim	9999
82.366642	0	8	No_Report	Eval	9999
85.524679	0	4	Report	Stim	-3
92.84918	0	4	Report	Eval	-3
95.523976	0	8	No_Report	Stim	9999
102.865081	0	8	No_Report	Eval	9999
105.523326	0	6	Report	Stim	2
112.847804	0	6	Report	Eval	2
115.022593	0	4	Report	Stim	1
122.347137	0	4	Report	Eval	1
125.521861	0	7	No_Report	Stim	9999
132.864052	0	7	No_Report	Eval	9999
135.022176	0	3	Report	Stim	-2
142.346653	0	3	Report	Eval	-2
145.021522	0	9	Report	Stim	-4
152.345928	0	9	Report	Eval	-4
155.020808	0	8	Report	Stim	1
162.345239	0	8	Report	Eval	1
165.020097	0	7	No_Report	Stim	9999
172.369473	0	7	No_Report	Eval	9999
175.519262	0	8	Report	Stim	1
182.843834	0	8	Report	Eval	1
185.018685	0	8	No_Report	Stim	9999
192.385827	0	8	No_Report	Eval	9999
195.518936	0	9	No_Report	Stim	9999
202.851745	0	9	No_Report	Eval	9999
205.026597	0	1	Report	Stim	3
212.351071	0	1	Report	Eval	3
215.525845	0	3	Report	Stim	-3
222.850328	0	3	Report	Eval	-3
225.525137	0	4	Report	Stim	-4
232.850618	0	4	Report	Eval	-4
235.025467	0	4	No_Report	Stim	9999
242.399942	0	4	No_Report	Eval	9999
245.52472	0	2	Report	Stim	-3
252.849197	0	2	Report	Eval	-3
255.523916	0	9	Report	Stim	2
262.84849	0	9	Report	Eval	2
265.023331	0	6	No_Report	Stim	9999
272.381141	0	6	No_Report	Eval	9999
275.522478	0	8	No_Report	Stim	9999
282.880395	0	8	No_Report	Eval	9999
285.021916	0	3	Report	Stim	-3
292.346331	0	3	Report	Eval	-3
295.521171	0	3	Report	Stim	4
302.845647	0	3	Report	Eval	4
305.020491	0	2	Report	Stim	-3
312.344969	0	2	Report	Eval	-3
315.019721	0	7	Report	Stim	-4
322.344259	0	7	Report	Eval	-4
325.519034	0	7	Report	Stim	4
332.84446	0	7	Report	Eval	4
335.019364	0	9	No_Report	Stim	9999
342.368825	0	9	No_Report	Eval	9999
345.518564	0	4	No_Report	Stim	9999
352.868091	0	4	No_Report	Eval	9999
355.526178	0	1	Report	Stim	-4
362.850722	0	1	Report	Eval	-4
365.025517	0	1	Report	Stim	4
