onset	duration	color_type	report_type	timing_type	score_eval
35.527539	0	5	Report	Stim	-1
42.852098	0	5	Report	Eval	-1
45.018554	0	4	Report	Stim	1
52.343016	0	4	Report	Eval	1
55.526122	0	7	Report	Stim	-3
62.850626	0	7	Report	Eval	-3
65.033848	0	3	No_Report	Stim	9999
72.374995	0	3	No_Report	Eval	9999
75.024807	0	8	Report	Stim	-4
82.350286	0	8	Report	Eval	-4
85.525064	0	8	Report	Stim	4
92.850538	0	8	Report	Eval	4
95.52529	0	9	Report	Stim	2
102.849773	0	9	Report	Eval	2
105.524577	0	4	Report	Stim	-4
112.849069	0	4	Report	Eval	-4
115.023917	0	9	No_Report	Stim	9999
122.356774	0	9	No_Report	Eval	9999
125.023251	0	2	Report	Stim	-3
132.347681	0	2	Report	Eval	-3
135.52245	0	2	Report	Stim	4
142.846921	0	2	Report	Eval	4
145.021772	0	7	No_Report	Stim	9999
152.37131	0	7	No_Report	Eval	9999
155.021118	0	2	Report	Stim	-4
162.345529	0	2	Report	Eval	-4
165.520333	0	9	No_Report	Stim	9999
172.861435	0	9	No_Report	Eval	9999
175.019702	0	6	Report	Stim	-3
182.345179	0	6	Report	Eval	-3
185.519937	0	3	Report	Stim	-3
192.844384	0	3	Report	Eval	-3
195.519242	0	3	No_Report	Stim	9999
202.860388	0	3	No_Report	Eval	9999
205.518534	0	1	Report	Stim	-4
212.842957	0	1	Report	Eval	-4
215.026133	0	1	No_Report	Stim	9999
222.375664	0	1	No_Report	Eval	9999
225.52544	0	2	Report	Stim	-1
232.849872	0	2	Report	Eval	-1
235.524684	0	6	Report	Stim	-4
242.849213	0	6	Report	Eval	-4
245.023995	0	1	Report	Stim	-4
252.348533	0	1	Report	Eval	-4
255.023344	0	5	No_Report	Stim	9999
262.356082	0	5	No_Report	Eval	9999
265.522529	0	8	No_Report	Stim	9999
272.905353	0	8	No_Report	Eval	9999
275.521824	0	4	No_Report	Stim	9999
282.864034	0	4	No_Report	Eval	9999
285.522176	0	5	No_Report	Stim	9999
292.863322	0	5	No_Report	Eval	9999
295.021503	0	5	No_Report	Stim	9999
302.362646	0	5	No_Report	Eval	9999
305.520756	0	1	Report	Stim	-4
312.845232	0	1	Report	Eval	-4
315.020082	0	3	No_Report	Stim	9999
322.361225	0	3	No_Report	Eval	9999
325.019368	0	5	Report	Stim	3
332.343793	0	5	Report	Eval	3
335.518625	0	2	No_Report	Stim	9999
342.859703	0	2	No_Report	Eval	9999
345.017951	0	4	Report	Stim	-3
352.342362	0	4	Report	Eval	-3
355.02552	0	3	Report	Stim	3
362.349998	0	3	Report	Eval	3
365.524774	0	6	No_Report	Stim	9999
372.874304	0	6	No_Report	Eval	9999
375.024065	0	9	No_Report	Stim	9999
382.390231	0	9	No_Report	Eval	9999
385.525406	0	7	No_Report	Stim	9999
392.858141	0	7	No_Report	Eval	9999
395.024673	0	9	Report	Stim	-3
402.349148	0	9	Report	Eval	-3
405.523984	0	1	No_Report	Stim	9999
412.865057	0	1	No_Report	Eval	9999
415.023288	0	8	Report	Stim	-1
422.347782	0	8	Report	Eval	-1
425.022535	0	6	No_Report	Stim	9999
432.363739	0	6	No_Report	Eval	9999
435.021827	0	7	Report	Stim	2
442.34636	0	7	Report	Eval	2
445.521077	0	6	No_Report	Stim	9999
452.862267	0	6	No_Report	Eval	9999
455.020464	0	4	No_Report	Stim	9999
462.361605	0	4	No_Report	Eval	9999
465.519665	0	8	Report	Stim	-4
472.844192	0	8	Report	Eval	-4
475.519003	0	3	No_Report	Stim	9999
482.868485	0	3	No_Report	Eval	9999
485.518232	0	9	No_Report	Stim	9999
492.87704	0	9	No_Report	Eval	9999
495.518525	0	5	No_Report	Stim	9999
502.868059	0	5	No_Report	Eval	9999
505.02618	0	3	No_Report	Stim	9999
512.367386	0	3	No_Report	Eval	9999
515.525433	0	7	Report	Stim	-4
522.84988	0	7	Report	Eval	-4
525.024816	0	7	No_Report	Stim	9999
532.365881	0	7	No_Report	Eval	9999
535.52407	0	5	Report	Stim	-3
542.848554	0	5	Report	Eval	-3
545.531696	0	9	Report	Stim	-4
552.856173	0	9	Report	Eval	-4
555.022629	0	9	No_Report	Stim	9999
562.363834	0	9	No_Report	Eval	9999
565.021975	0	8	No_Report	Stim	9999
572.363051	0	8	No_Report	Eval	9999
575.021268	0	7	Report	Stim	2
582.345741	0	7	Report	Eval	2
585.520387	0	4	No_Report	Stim	9999
592.862589	0	4	No_Report	Eval	9999
595.520805	0	4	Report	Stim	4
602.845289	0	4	Report	Eval	4
605.020058	0	2	No_Report	Stim	9999
612.377944	0	2	No_Report	Eval	9999
615.519301	0	3	Report	Stim	1
