onset	duration	color_type	report_type	timing_type	score_eval
35.530502	0	1	Report	Stim	1
42.854536	0	1	Report	Eval	1
45.02096	0	8	Report	Stim	3
52.345924	0	8	Report	Eval	3
55.020627	0	7	No_Report	Stim	9999
62.362314	0	7	No_Report	Eval	9999
65.020245	0	1	No_Report	Stim	9999
72.360986	0	1	No_Report	Eval	9999
75.019953	0	9	No_Report	Stim	9999
82.360572	0	9	No_Report	Eval	9999
85.51849	0	2	No_Report	Stim	9999
92.910246	0	2	No_Report	Eval	9999
95.018235	0	2	Report	Stim	4
102.342257	0	2	Report	Eval	4
105.526228	0	1	No_Report	Stim	9999
112.86692	0	1	No_Report	Eval	9999
115.524835	0	6	No_Report	Stim	9999
122.866493	0	6	No_Report	Eval	9999
125.024571	0	2	No_Report	Stim	9999
132.366315	0	2	No_Report	Eval	9999
135.524229	0	4	No_Report	Stim	9999
142.864917	0	4	No_Report	Eval	9999
145.523899	0	5	Report	Stim	3
152.847848	0	5	Report	Eval	3
155.522562	0	2	No_Report	Stim	9999
162.872581	0	2	No_Report	Eval	9999
165.522158	0	3	Report	Stim	3
172.84717	0	3	Report	Eval	3
175.521896	0	8	No_Report	Stim	9999
182.862587	0	8	No_Report	Eval	9999
185.020627	0	3	Report	Stim	-4
192.345572	0	3	Report	Eval	-4
195.020245	0	3	No_Report	Stim	9999
202.378652	0	3	No_Report	Eval	9999
205.019904	0	1	Report	Stim	-3
212.343989	0	1	Report	Eval	-3
215.019631	0	1	No_Report	Stim	9999
222.368652	0	1	No_Report	Eval	9999
225.018217	0	4	Report	Stim	-3
232.343317	0	4	Report	Eval	-3
235.517807	0	7	No_Report	Stim	9999
242.867916	0	7	No_Report	Eval	9999
245.525849	0	4	Report	Stim	-2
252.849919	0	4	Report	Eval	-2
255.024571	0	6	Report	Stim	1
262.349649	0	6	Report	Eval	1
265.524214	0	6	Report	Stim	4
272.850249	0	6	Report	Eval	4
275.524891	0	8	Report	Stim	-3
282.849914	0	8	Report	Eval	-3
285.024625	0	5	No_Report	Stim	9999
292.365312	0	5	No_Report	Eval	9999
295.523226	0	1	Report	Stim	-4
302.848187	0	1	Report	Eval	-4
305.522892	0	7	Report	Stim	-2
312.847914	0	7	Report	Eval	-2
315.522515	0	2	Report	Stim	-4
322.846571	0	2	Report	Eval	-4
325.022291	0	5	Report	Stim	1
332.346317	0	5	Report	Eval	1
335.020958	0	4	No_Report	Stim	9999
342.370925	0	4	No_Report	Eval	9999
345.028954	0	8	No_Report	Stim	9999
352.369645	0	8	No_Report	Eval	9999
355.020204	0	6	No_Report	Stim	9999
362.369315	0	6	No_Report	Eval	9999
365.518837	0	9	No_Report	Stim	9999
372.868843	0	9	No_Report	Eval	9999
375.018547	0	1	Report	Stim	3
382.343646	0	1	Report	Eval	3
385.018227	0	2	Report	Stim	1
392.342268	0	2	Report	Eval	1
395.026291	0	6	Report	Stim	-1
402.350234	0	6	Report	Eval	-1
405.024913	0	7	Report	Stim	3
412.349982	0	7	Report	Eval	3
415.032912	0	7	No_Report	Stim	9999
422.374579	0	7	No_Report	Eval	9999
425.024222	0	9	No_Report	Stim	9999
432.381643	0	9	No_Report	Eval	9999
435.522796	0	8	No_Report	Stim	9999
442.872842	0	8	No_Report	Eval	9999
445.522474	0	1	No_Report	Stim	9999
452.872494	0	1	No_Report	Eval	9999
455.522224	0	5	No_Report	Stim	9999
462.87224	0	5	No_Report	Eval	9999
465.521825	0	3	Report	Stim	3
472.845914	0	3	Report	Eval	3
475.020622	0	2	No_Report	Stim	9999
482.403969	0	2	No_Report	Eval	9999
485.520221	0	7	No_Report	Stim	9999
492.861906	0	7	No_Report	Eval	9999
495.019887	0	8	Report	Stim	3
502.343921	0	8	Report	Eval	3
505.518555	0	9	Report	Stim	3
512.843526	0	9	Report	Eval	3
515.518221	0	9	No_Report	Stim	9999
522.868243	0	9	No_Report	Eval	9999
525.534551	0	4	No_Report	Stim	9999
532.884514	0	4	No_Report	Eval	9999
535.017563	0	4	Report	Stim	4
542.341647	0	4	Report	Eval	4
545.025555	0	1	No_Report	Stim	9999
552.400634	0	1	No_Report	Eval	9999
555.525127	0	3	No_Report	Stim	9999
562.866904	0	3	No_Report	Eval	9999
565.524823	0	6	No_Report	Stim	9000
572.907234	0	6	No_Report	Eval	9000
575.024538	0	3	Report	Stim	-1
582.3486	0	3	Report	Eval	-1
585.023288	0	5	No_Report	Stim	9999
592.373309	0	5	No_Report	Eval	9999
595.522886	0	8	Report	Stim	-2
602.847852	0	8	Report	Eval	-2
605.522499	0	2	Report	Stim	-3
612.846576	0	2	Report	Eval	-3
615.021241	0	8	No_Report	Stim	9999
622.371307	0	8	No_Report	Eval	9999
625.020949	0	8	Report	Stim	4
632.354254	0	8	Report	Eval	4
635.520472	0	4	Report	Stim	-3
642.844511	0	4	Report	Eval	-3
645.020286	0	3	No_Report	Stim	9999
652.385973	0	3	No_Report	Eval	9999
655.518884	0	7	Report	Stim	-1
662.843907	0	7	Report	Eval	-1
665.018618	0	6	No_Report	Stim	9999
672.393538	0	6	No_Report	Eval	9999
675.026614	0	4	No_Report	Stim	9999
682.367304	0	4	No_Report	Eval	9999
685.026215	0	9	Report	Stim	-4
692.350308	0	9	Report	Eval	-4
695.524793	0	3	No_Report	Stim	9999
702.874902	0	3	No_Report	Eval	9999
705.52455	0	9	Report	Stim	9999
712.874569	0	9	Report	Eval	9999
715.024205	0	7	Report	Stim	1
722.348302	0	7	Report	Eval	1
725.022902	0	3	No_Report	Stim	9999
732.372965	0	3	No_Report	Eval	9999
735.022549	0	4	Report	Stim	3
742.347639	0	4	Report	Eval	3
745.022282	0	2	Report	Stim	1
752.346302	0	2	Report	Eval	1
755.021951	0	9	Report	Stim	2
762.345973	0	9	Report	Eval	2
765.520546	0	6	Report	Stim	-1
772.845568	0	6	Report	Eval	-1
775.520213	0	5	No_Report	Stim	9999
782.861832	0	5	No_Report	Eval	9999
785.0199	0	5	No_Report	Stim	9999
792.360543	0	5	No_Report	Eval	9999
795.018611	0	9	No_Report	Stim	9999
802.360304	0	9	No_Report	Eval	9999
805.519169	0	5	Report	Stim	-4
812.843236	0	5	Report	Eval	-4
815.027277	0	7	No_Report	Stim	9999
822.376296	0	7	No_Report	Eval	9999
825.018612	0	5	Report	Stim	-2
832.342592	0	5	Report	Eval	-2
835.025537	0	6	Report	Stim	2
842.350632	0	6	Report	Eval	2
