onset	duration	color_type	report_type	timing_type	score_eval
35.530748	0	1	Report	Stim	-3
42.854793	0	1	Report	Eval	-3
45.021075	0	8	Report	Stim	-2
52.346215	0	8	Report	Eval	-2
55.02187	0	7	No_Report	Stim	9999
62.363463	0	7	No_Report	Eval	9999
65.021503	0	1	No_Report	Stim	9999
72.362262	0	1	No_Report	Eval	9999
75.020252	0	9	No_Report	Stim	9999
82.361857	0	9	No_Report	Eval	9999
85.519877	0	2	No_Report	Stim	9999
92.861584	0	2	No_Report	Eval	9999
95.01963	0	2	Report	Stim	4
102.343671	0	2	Report	Eval	4
105.519261	0	1	No_Report	Stim	9999
112.876627	0	1	No_Report	Eval	9999
115.52628	0	6	No_Report	Stim	9999
122.884572	0	6	No_Report	Eval	9999
125.025943	0	2	No_Report	Stim	9999
132.366748	0	2	No_Report	Eval	9999
135.525609	0	4	No_Report	Stim	9999
142.866305	0	4	No_Report	Eval	9999
145.524356	0	5	Report	Stim	3
152.849402	0	5	Report	Eval	3
155.532282	0	2	No_Report	Stim	9999
162.882423	0	2	No_Report	Eval	9999
165.523699	0	3	Report	Stim	-3
172.847781	0	3	Report	Eval	-3
175.522434	0	8	No_Report	Stim	9999
182.86414	0	8	No_Report	Eval	9999
185.0221	0	3	Report	Stim	-4
192.34723	0	3	Report	Eval	-4
195.030143	0	3	No_Report	Stim	9999
202.395918	0	3	No_Report	Eval	9999
205.021577	0	1	Report	Stim	-3
212.345619	0	1	Report	Eval	-3
215.020215	0	1	No_Report	Stim	9999
222.378566	0	1	No_Report	Eval	9999
225.019894	0	4	Report	Stim	9999
232.37733	0	4	Report	Eval	9999
235.527834	0	7	No_Report	Stim	9999
242.868618	0	7	No_Report	Eval	9999
245.518276	0	4	Report	Stim	2
252.843259	0	4	Report	Eval	2
255.026318	0	6	Report	Stim	1
262.351406	0	6	Report	Eval	1
265.525989	0	6	Report	Stim	4
272.850031	0	6	Report	Eval	4
275.524632	0	8	Report	Stim	1
282.849727	0	8	Report	Eval	1
285.032772	0	5	No_Report	Stim	9999
292.382795	0	5	No_Report	Eval	9999
295.524067	0	1	Report	Stim	-3
302.848106	0	1	Report	Eval	-3
305.522757	0	7	Report	Stim	-4
312.847799	0	7	Report	Eval	-4
315.530738	0	2	Report	Stim	-4
322.855826	0	2	Report	Eval	-4
325.02214	0	5	Report	Stim	-2
332.346245	0	5	Report	Eval	-2
335.021837	0	4	No_Report	Stim	9999
342.379268	0	4	No_Report	Eval	9999
345.021539	0	8	No_Report	Stim	9999
352.371545	0	8	No_Report	Eval	9999
355.021283	0	6	No_Report	Stim	9999
362.370242	0	6	No_Report	Eval	9999
365.529188	0	9	No_Report	Stim	9999
372.869949	0	9	No_Report	Eval	9999
375.019589	0	1	Report	Stim	3
382.344708	0	1	Report	Eval	3
385.019353	0	2	Report	Stim	-3
392.344397	0	2	Report	Eval	-3
395.018998	0	6	Report	Stim	-4
402.343034	0	6	Report	Eval	-4
405.017742	0	7	Report	Stim	3
412.342782	0	7	Report	Eval	3
415.025765	0	7	No_Report	Stim	9000
422.367469	0	7	No_Report	Eval	9000
425.025457	0	9	No_Report	Stim	9999
432.366097	0	9	No_Report	Eval	9999
435.52508	0	8	No_Report	Stim	9999
442.865731	0	8	No_Report	Eval	9999
445.523727	0	1	No_Report	Stim	9000
452.882015	0	1	No_Report	Eval	9000
455.523405	0	5	No_Report	Stim	9999
462.873506	0	5	No_Report	Eval	9999
465.523069	0	3	Report	Stim	3
472.84715	0	3	Report	Eval	3
475.021823	0	2	No_Report	Stim	9999
482.405209	0	2	No_Report	Eval	9999
485.529812	0	7	No_Report	Stim	9999
492.87158	0	7	No_Report	Eval	9999
495.021236	0	8	Report	Stim	-1
502.353673	0	8	Report	Eval	-1
505.519877	0	9	Report	Stim	-2
512.853294	0	9	Report	Eval	-2
515.519555	0	9	No_Report	Stim	9999
522.869651	0	9	No_Report	Eval	9999
525.519304	0	4	No_Report	Stim	9999
532.86828	0	4	No_Report	Eval	9999
535.018012	0	4	Report	Stim	4
542.343056	0	4	Report	Eval	4
545.026085	0	1	No_Report	Stim	9999
552.367791	0	1	No_Report	Eval	9999
555.525714	0	3	No_Report	Stim	9999
562.883088	0	3	No_Report	Eval	9999
565.533668	0	6	No_Report	Stim	9999
572.899348	0	6	No_Report	Eval	9999
575.024083	0	3	Report	Stim	-3
582.349152	0	3	Report	Eval	-3
585.023854	0	5	No_Report	Stim	9999
592.372892	0	5	No_Report	Eval	9999
595.523483	0	8	Report	Stim	-4
602.847471	0	8	Report	Eval	-4
605.522172	0	2	Report	Stim	-4
612.847168	0	2	Report	Eval	-4
615.021866	0	8	No_Report	Stim	9999
622.37297	0	8	No_Report	Eval	9999
625.030951	0	8	Report	Stim	4
632.354996	0	8	Report	Eval	4
635.521246	0	4	Report	Stim	1
642.846232	0	4	Report	Eval	1
645.021005	0	3	No_Report	Stim	9999
652.371045	0	3	No_Report	Eval	9999
655.520628	0	7	Report	Stim	-1
662.844671	0	7	Report	Eval	-1
665.02034	0	6	No_Report	Stim	9999
672.386039	0	6	No_Report	Eval	9999
675.019025	0	4	No_Report	Stim	9999
682.385672	0	4	No_Report	Eval	9999
685.018774	0	9	Report	Stim	-4
692.34281	0	9	Report	Eval	-4
695.526656	0	3	No_Report	Stim	9999
702.875698	0	3	No_Report	Eval	9999
705.525349	0	9	Report	Stim	-4
712.850404	0	9	Report	Eval	-4
715.025108	0	7	Report	Stim	-2
722.35022	0	7	Report	Eval	-2
725.024869	0	3	No_Report	Stim	9999
732.373857	0	3	No_Report	Eval	9999
735.023508	0	4	Report	Stim	3
742.348601	0	4	Report	Eval	3
745.02325	0	2	Report	Stim	-2
752.348238	0	2	Report	Eval	-2
755.022947	0	9	Report	Stim	-3
762.34689	0	9	Report	Eval	-3
765.522571	0	6	Report	Stim	-4
772.846611	0	6	Report	Eval	-4
775.521265	0	5	No_Report	Stim	9999
782.8713	0	5	No_Report	Eval	9999
785.021024	0	5	No_Report	Stim	9999
792.386665	0	5	No_Report	Eval	9999
795.020656	0	9	No_Report	Stim	9999
802.386413	0	9	No_Report	Eval	9999
805.519337	0	5	Report	Stim	-4
812.84438	0	5	Report	Eval	-4
815.019095	0	7	No_Report	Stim	9999
822.35967	0	7	No_Report	Eval	9999
825.018739	0	5	Report	Stim	-1
832.342762	0	5	Report	Eval	-1
835.025811	0	6	Report	Stim	1
842.350852	0	6	Report	Eval	1
