onset	duration	color_type	report_type	timing_type	score_eval
35.02232	0	2	No_Report	Stim	9999
42.380086	0	2	No_Report	Eval	9999
45.522579	0	8	Report	Stim	-3
52.846999	0	8	Report	Eval	-3
55.521868	0	5	No_Report	Stim	9999
62.86292	0	5	No_Report	Eval	9999
65.521163	0	1	No_Report	Stim	9999
72.862307	0	1	No_Report	Eval	9999
75.020427	0	8	No_Report	Stim	9999
82.361567	0	8	No_Report	Eval	9999
85.519733	0	4	Report	Stim	-4
92.845173	0	4	Report	Eval	-4
95.519962	0	8	No_Report	Stim	9999
102.886094	0	8	No_Report	Eval	9999
105.51933	0	6	Report	Stim	2
112.843748	0	6	Report	Eval	2
115.026986	0	4	Report	Stim	9000
122.3848	0	4	Report	Eval	9000
125.526244	0	7	No_Report	Stim	9999
132.867385	0	7	No_Report	Eval	9999
135.025522	0	3	Report	Stim	-4
142.350052	0	3	Report	Eval	-4
145.024816	0	9	Report	Stim	-3
152.349339	0	9	Report	Eval	-3
155.024109	0	8	Report	Stim	3
162.356912	0	8	Report	Eval	3
165.023367	0	7	No_Report	Stim	9999
172.364541	0	7	No_Report	Eval	9999
175.522645	0	8	Report	Stim	2
182.847088	0	8	Report	Eval	2
185.022011	0	8	No_Report	Stim	9999
192.364172	0	8	No_Report	Eval	9999
195.522281	0	9	No_Report	Stim	9999
202.863425	0	9	No_Report	Eval	9999
205.029889	0	1	Report	Stim	3
212.354421	0	1	Report	Eval	3
215.520785	0	3	Report	Stim	-2
222.845294	0	3	Report	Eval	-2
225.520159	0	4	Report	Stim	3
232.844638	0	4	Report	Eval	3
235.019457	0	4	No_Report	Stim	9999
242.368962	0	4	No_Report	Eval	9999
245.518664	0	2	Report	Stim	-3
252.843169	0	2	Report	Eval	-3
255.526363	0	9	Report	Stim	2
262.850759	0	9	Report	Eval	2
265.025605	0	6	No_Report	Stim	9999
272.366784	0	6	No_Report	Eval	9999
275.524891	0	8	No_Report	Stim	9999
282.86609	0	8	No_Report	Eval	9999
285.024271	0	3	Report	Stim	-3
292.34968	0	3	Report	Eval	-3
295.524488	0	3	Report	Stim	4
302.857342	0	3	Report	Eval	4
305.023816	0	2	Report	Stim	1
312.349336	0	2	Report	Eval	1
315.024144	0	7	Report	Stim	-4
322.356961	0	7	Report	Eval	-4
325.523325	0	7	Report	Stim	4
332.847837	0	7	Report	Eval	4
335.022671	0	9	No_Report	Stim	9999
342.38054	0	9	No_Report	Eval	9999
345.521912	0	4	No_Report	Stim	9999
352.863132	0	4	No_Report	Eval	9999
355.52128	0	1	Report	Stim	-3
362.845685	0	1	Report	Eval	-3
365.020546	0	1	Report	Stim	4
372.345001	0	1	Report	Eval	4
375.019894	0	6	Report	Stim	-4
382.344334	0	6	Report	Eval	-4
385.527402	0	6	No_Report	Stim	9999
392.861249	0	6	No_Report	Eval	9999
395.519441	0	3	No_Report	Stim	9999
402.868846	0	3	No_Report	Eval	9999
405.527071	0	6	Report	Stim	-3
412.851552	0	6	Report	Eval	-3
415.034667	0	5	Report	Stim	2
422.359208	0	5	Report	Eval	2
425.525597	0	5	Report	Stim	2
432.850088	0	5	Report	Eval	2
435.024917	0	7	Report	Stim	2
442.349406	0	7	Report	Eval	2
445.024267	0	4	Report	Stim	2
452.348698	0	4	Report	Eval	2
455.023495	0	6	No_Report	Stim	9999
462.37304	0	6	No_Report	Eval	9999
465.022852	0	1	No_Report	Stim	9999
472.372336	0	1	No_Report	Eval	9999
475.022131	0	4	No_Report	Stim	9999
482.371628	0	4	No_Report	Eval	9999
485.021433	0	3	No_Report	Stim	9999
492.371917	0	3	No_Report	Eval	9999
495.521691	0	7	No_Report	Stim	9999
502.871113	0	7	No_Report	Eval	9999
505.021021	0	5	No_Report	Stim	9999
512.370498	0	5	No_Report	Eval	9999
515.520232	0	4	No_Report	Stim	9999
522.869759	0	4	No_Report	Eval	9999
525.019604	0	9	Report	Stim	-3
532.344085	0	9	Report	Eval	-3
535.018849	0	5	Report	Stim	-3
542.343313	0	5	Report	Eval	-3
545.026457	0	8	Report	Stim	1
552.351001	0	8	Report	Eval	1
555.525708	0	1	Report	Stim	2
562.850196	0	1	Report	Eval	2
565.52507	0	2	No_Report	Stim	9999
572.874476	0	2	No_Report	Eval	9999
575.525363	0	3	No_Report	Stim	9999
582.874777	0	3	No_Report	Eval	9999
585.524651	0	5	No_Report	Stim	9999
592.874054	0	5	No_Report	Eval	9999
595.524894	0	9	No_Report	Stim	9999
602.874423	0	9	No_Report	Eval	9999
605.524233	0	9	Report	Stim	4
612.848639	0	9	Report	Eval	4
615.523468	0	7	Report	Stim	-3
622.848009	0	7	Report	Eval	-3
625.022852	0	2	No_Report	Stim	9999
632.372242	0	2	No_Report	Eval	9999
635.022089	0	4	No_Report	Stim	9000
642.371624	0	4	No_Report	Eval	9000
645.521399	0	5	Report	Stim	3
652.845791	0	5	Report	Eval	3
655.520628	0	2	Report	Stim	-2
662.845172	0	2	Report	Eval	-2
665.028228	0	1	Report	Stim	3
672.352831	0	1	Report	Eval	3
675.027599	0	7	Report	Stim	-4
682.35211	0	7	Report	Eval	-4
685.018603	0	6	Report	Stim	3
692.343084	0	6	Report	Eval	3
695.017893	0	7	No_Report	Stim	9999
702.360045	0	7	No_Report	Eval	9999
705.526391	0	1	No_Report	Stim	9999
712.875961	0	1	No_Report	Eval	9999
715.02575	0	9	No_Report	Stim	9999
722.375237	0	9	No_Report	Eval	9999
725.025103	0	3	No_Report	Stim	9999
732.374528	0	3	No_Report	Eval	9999
735.024324	0	8	No_Report	Stim	9999
742.373831	0	8	No_Report	Eval	9999
745.523597	0	2	No_Report	Stim	9999
752.873128	0	2	No_Report	Eval	9999
755.022926	0	2	No_Report	Stim	9999
762.372455	0	2	No_Report	Eval	9999
765.030516	0	5	No_Report	Stim	9999
772.37166	0	5	No_Report	Eval	9999
775.021564	0	3	Report	Stim	2
782.346041	0	3	Report	Eval	2
785.020764	0	1	No_Report	Stim	9999
792.370335	0	1	No_Report	Eval	9999
795.020145	0	5	Report	Stim	-3
802.34555	0	5	Report	Eval	-3
805.520404	0	6	No_Report	Stim	9999
812.861478	0	6	No_Report	Eval	9999
815.019728	0	2	Report	Stim	-3
822.344213	0	2	Report	Eval	-3
825.019019	0	6	No_Report	Stim	9999
832.360167	0	6	No_Report	Eval	9999
835.026644	0	9	Report	Stim	-3
842.351065	0	9	Report	Eval	-3
