onset	duration	color_type	report_type	timing_type	score_eval
35.024517	0	2	No_Report	Stim	9999
42.407294	0	2	No_Report	Eval	9999
45.524727	0	8	Report	Stim	-4
52.849168	0	8	Report	Eval	-4
55.523895	0	5	No_Report	Stim	9999
62.856743	0	5	No_Report	Eval	9999
65.523138	0	1	No_Report	Stim	9999
72.864316	0	1	No_Report	Eval	9999
75.022421	0	8	No_Report	Stim	9999
82.363592	0	8	No_Report	Eval	9999
85.521616	0	4	Report	Stim	-3
92.846132	0	4	Report	Eval	-3
95.520882	0	8	No_Report	Stim	9999
102.863036	0	8	No_Report	Eval	9999
105.520124	0	6	Report	Stim	1
112.846565	0	6	Report	Eval	1
115.021375	0	4	Report	Stim	1
122.345892	0	4	Report	Eval	1
125.520593	0	7	No_Report	Stim	9999
132.861766	0	7	No_Report	Eval	9999
135.019871	0	3	Report	Stim	-2
142.344314	0	3	Report	Eval	-2
145.019127	0	9	Report	Stim	-3
152.343572	0	9	Report	Eval	-3
155.018359	0	8	Report	Stim	3
162.342798	0	8	Report	Eval	3
165.025926	0	7	No_Report	Stim	9999
172.375435	0	7	No_Report	Eval	9999
175.525198	0	8	Report	Stim	2
182.850637	0	8	Report	Eval	2
185.025477	0	8	No_Report	Stim	9999
192.358255	0	8	No_Report	Eval	9999
195.524663	0	9	No_Report	Stim	9999
202.899119	0	9	No_Report	Eval	9999
205.032291	0	1	Report	Stim	3
212.356663	0	1	Report	Eval	3
215.523108	0	3	Report	Stim	-2
222.8476	0	3	Report	Eval	-2
225.522405	0	4	Report	Stim	3
232.846846	0	4	Report	Eval	3
235.021682	0	4	No_Report	Stim	9999
242.362724	0	4	No_Report	Eval	9999
245.530219	0	2	Report	Stim	-1
252.854598	0	2	Report	Eval	-1
255.521075	0	9	Report	Stim	1
262.845573	0	9	Report	Eval	1
265.020359	0	6	No_Report	Stim	9999
272.36146	0	6	No_Report	Eval	9999
275.519608	0	8	No_Report	Stim	9999
282.877371	0	8	No_Report	Eval	9999
285.018893	0	3	Report	Stim	-4
292.343276	0	3	Report	Eval	-4
295.526381	0	3	Report	Stim	4
302.850871	0	3	Report	Eval	4
305.025705	0	2	Report	Stim	3
312.351149	0	2	Report	Eval	3
315.025947	0	7	Report	Stim	-3
322.35039	0	7	Report	Eval	-3
325.525091	0	7	Report	Stim	4
332.849597	0	7	Report	Eval	4
335.024434	0	9	No_Report	Stim	9999
342.365542	0	9	No_Report	Eval	9999
345.523574	0	4	No_Report	Stim	9999
352.864743	0	4	No_Report	Eval	9999
355.522816	0	1	Report	Stim	-4
362.848319	0	1	Report	Eval	-4
365.022158	0	1	Report	Stim	4
372.347531	0	1	Report	Eval	4
375.022325	0	6	Report	Stim	-3
382.347767	0	6	Report	Eval	-3
385.522602	0	6	No_Report	Stim	9999
392.855366	0	6	No_Report	Eval	9999
395.521841	0	3	No_Report	Stim	9999
402.904555	0	3	No_Report	Eval	9999
405.521023	0	6	Report	Stim	2
412.845526	0	6	Report	Eval	2
415.020301	0	5	Report	Stim	3
422.344754	0	5	Report	Eval	3
425.527824	0	5	Report	Stim	4
432.852277	0	5	Report	Eval	4
435.018844	0	7	Report	Stim	3
442.343288	0	7	Report	Eval	3
445.018087	0	4	Report	Stim	2
452.343534	0	4	Report	Eval	2
455.026666	0	6	No_Report	Stim	9999
462.367771	0	6	No_Report	Eval	9999
465.025903	0	1	No_Report	Stim	9999
472.366961	0	1	No_Report	Eval	9999
475.025135	0	4	No_Report	Stim	9999
482.366251	0	4	No_Report	Eval	9999
485.024308	0	3	No_Report	Stim	9999
492.365493	0	3	No_Report	Eval	9999
495.523528	0	7	No_Report	Stim	9999
502.856308	0	7	No_Report	Eval	9999
505.022826	0	5	No_Report	Stim	9999
512.413967	0	5	No_Report	Eval	9999
515.523071	0	4	No_Report	Stim	9999
522.855801	0	4	No_Report	Eval	9999
525.022351	0	9	Report	Stim	-3
532.346751	0	9	Report	Eval	-3
535.021595	0	5	Report	Stim	-3
542.346036	0	5	Report	Eval	-3
545.020839	0	8	Report	Stim	1
552.345229	0	8	Report	Eval	1
555.519966	0	1	Report	Stim	1
562.844427	0	1	Report	Eval	1
565.519284	0	2	No_Report	Stim	9999
572.868726	0	2	No_Report	Eval	9999
575.518521	0	3	No_Report	Stim	9999
582.868965	0	3	No_Report	Eval	9999
585.518767	0	5	No_Report	Stim	9999
592.868207	0	5	No_Report	Eval	9999
595.526292	0	9	No_Report	Stim	9999
602.867452	0	9	No_Report	Eval	9999
605.525571	0	9	Report	Stim	4
612.850961	0	9	Report	Eval	4
615.525742	0	7	Report	Stim	-2
622.850264	0	7	Report	Eval	-2
625.025017	0	2	No_Report	Stim	9999
632.382875	0	2	No_Report	Eval	9999
635.024267	0	4	No_Report	Stim	9999
642.37378	0	4	No_Report	Eval	9999
645.523548	0	5	Report	Stim	3
652.848989	0	5	Report	Eval	3
655.523691	0	2	Report	Stim	-1
662.856494	0	2	Report	Eval	-1
665.023003	0	1	Report	Stim	2
672.347453	0	1	Report	Eval	2
675.022312	0	7	Report	Stim	-3
682.346696	0	7	Report	Eval	-3
685.021495	0	6	Report	Stim	3
692.345996	0	6	Report	Eval	3
695.020796	0	7	No_Report	Stim	9999
702.370233	0	7	No_Report	Eval	9999
705.519955	0	1	No_Report	Stim	9999
712.870437	0	1	No_Report	Eval	9999
715.020208	0	9	No_Report	Stim	9999
722.369716	0	9	No_Report	Eval	9999
725.019514	0	3	No_Report	Stim	9999
732.368965	0	3	No_Report	Eval	9999
735.018756	0	8	No_Report	Stim	9999
742.351537	0	8	No_Report	Eval	9999
745.526297	0	2	No_Report	Stim	9999
752.9174	0	2	No_Report	Eval	9999
755.025571	0	2	No_Report	Stim	9999
762.358355	0	2	No_Report	Eval	9999
765.024819	0	5	No_Report	Stim	9999
772.407587	0	5	No_Report	Eval	9999
775.023983	0	3	Report	Stim	3
782.349506	0	3	Report	Eval	3
785.0243	0	1	No_Report	Stim	9999
792.373741	0	1	No_Report	Eval	9999
795.023539	0	5	Report	Stim	-3
802.347922	0	5	Report	Eval	-3
805.522749	0	6	No_Report	Stim	9999
812.872189	0	6	No_Report	Eval	9999
815.022025	0	2	Report	Stim	-2
822.3548	0	2	Report	Eval	-2
825.021266	0	6	No_Report	Stim	9999
832.370708	0	6	No_Report	Eval	9999
835.020509	0	9	Report	Stim	-2
842.353235	0	9	Report	Eval	-2
