onset	duration	color_type	report_type	timing_type	score_eval
35.523366	0	6	Report	Stim	-2
42.84785	0	6	Report	Eval	-2
45.522592	0	7	No_Report	Stim	9999
52.872064	0	7	No_Report	Eval	9999
55.021912	0	3	Report	Stim	-3
62.347464	0	3	Report	Eval	-3
65.522162	0	9	No_Report	Stim	9999
72.872713	0	9	No_Report	Eval	9999
75.522529	0	1	No_Report	Stim	9999
82.855338	0	1	No_Report	Eval	9999
85.021794	0	8	No_Report	Stim	9999
92.387938	0	8	No_Report	Eval	9999
95.02114	0	2	No_Report	Stim	9999
102.353957	0	2	No_Report	Eval	9999
105.020357	0	9	No_Report	Stim	9999
112.403237	0	9	No_Report	Eval	9999
115.019656	0	7	No_Report	Stim	9999
122.360864	0	7	No_Report	Eval	9999
125.01894	0	4	No_Report	Stim	9999
132.368488	0	4	No_Report	Eval	9999
135.51821	0	4	No_Report	Stim	9999
142.876077	0	4	No_Report	Eval	9999
145.025848	0	1	Report	Stim	-3
152.350352	0	1	Report	Eval	-3
155.525178	0	7	No_Report	Stim	9999
162.874654	0	7	No_Report	Eval	9999
165.524467	0	1	Report	Stim	-4
172.849943	0	1	Report	Eval	-4
175.024789	0	9	Report	Stim	2
182.349272	0	9	Report	Eval	2
185.024079	0	6	No_Report	Stim	9999
192.373556	0	6	No_Report	Eval	9999
195.023374	0	5	Report	Stim	2
202.347851	0	5	Report	Eval	2
205.522622	0	8	No_Report	Stim	9999
212.872039	0	8	No_Report	Eval	9999
215.021949	0	8	No_Report	Stim	9999
222.371426	0	8	No_Report	Eval	9999
225.021241	0	6	Report	Stim	1
232.345668	0	6	Report	Eval	1
235.020528	0	1	No_Report	Stim	9999
242.361677	0	1	No_Report	Eval	9999
245.519782	0	5	Report	Stim	-1
252.844183	0	5	Report	Eval	-1
255.519072	0	2	Report	Stim	-1
262.843549	0	2	Report	Eval	-1
265.518288	0	3	No_Report	Stim	9999
272.868839	0	3	No_Report	Eval	9999
275.518651	0	3	Report	Stim	4
282.843132	0	3	Report	Eval	4
285.526274	0	1	No_Report	Stim	9999
292.875739	0	1	No_Report	Eval	9999
295.525522	0	6	Report	Stim	-3
302.84998	0	6	Report	Eval	-3
305.524855	0	4	Report	Stim	1
312.849329	0	4	Report	Eval	1
315.524089	0	8	Report	Stim	-2
322.848612	0	8	Report	Eval	-2
325.023407	0	4	No_Report	Stim	9999
332.356278	0	4	No_Report	Eval	9999
335.522724	0	9	No_Report	Stim	9999
342.905529	0	9	No_Report	Eval	9999
345.521934	0	5	No_Report	Stim	9999
352.855746	0	5	No_Report	Eval	9999
355.022336	0	3	No_Report	Stim	9000
362.371758	0	3	No_Report	Eval	9000
365.021624	0	7	No_Report	Stim	9999
372.363768	0	7	No_Report	Eval	9999
375.021919	0	7	Report	Stim	4
382.346331	0	7	Report	Eval	4
385.521122	0	9	Report	Stim	1
392.845652	0	9	Report	Eval	1
395.020496	0	4	Report	Stim	-2
402.344916	0	4	Report	Eval	-2
405.019781	0	3	Report	Stim	3
412.344261	0	3	Report	Eval	3
415.019004	0	2	Report	Stim	3
422.343553	0	2	Report	Eval	3
425.518326	0	7	Report	Stim	-3
432.842748	0	7	Report	Eval	-3
435.525948	0	2	No_Report	Stim	9999
442.875425	0	2	No_Report	Eval	9999
445.025274	0	1	Report	Stim	3
452.349757	0	1	Report	Eval	3
455.524482	0	4	No_Report	Stim	9999
462.857342	0	4	No_Report	Eval	9999
465.023855	0	2	No_Report	Stim	9999
472.407617	0	2	No_Report	Eval	9999
475.524108	0	2	No_Report	Stim	9999
482.865188	0	2	No_Report	Eval	9999
485.023434	0	5	No_Report	Stim	9999
492.364574	0	5	No_Report	Eval	9999
495.522684	0	4	Report	Stim	4
502.847118	0	4	Report	Eval	4
505.02197	0	7	Report	Stim	1
512.346421	0	7	Report	Eval	1
515.021298	0	6	Report	Stim	4
522.345781	0	6	Report	Eval	4
525.520557	0	8	No_Report	Stim	9999
532.853316	0	8	No_Report	Eval	9999
535.019882	0	9	No_Report	Stim	9999
542.361025	0	9	No_Report	Eval	9999
545.519134	0	2	Report	Stim	1
552.843615	0	2	Report	Eval	1
555.018456	0	8	Report	Stim	-2
