onset	duration	color_type	report_type	timing_type	score_eval
35.524461	0	1	Report	Stim	-4
42.848948	0	1	Report	Eval	-4
45.024787	0	8	Report	Stim	9000
52.36594	0	8	Report	Eval	9000
55.024035	0	7	No_Report	Stim	9999
62.365229	0	7	No_Report	Eval	9999
65.023377	0	1	No_Report	Stim	9999
72.357193	0	1	No_Report	Eval	9999
75.02367	0	9	No_Report	Stim	9999
82.414801	0	9	No_Report	Eval	9999
85.522929	0	2	No_Report	Stim	9999
92.855744	0	2	No_Report	Eval	9999
95.022192	0	2	Report	Stim	4
102.346738	0	2	Report	Eval	4
105.521513	0	1	No_Report	Stim	9999
112.870996	0	1	No_Report	Eval	9999
115.52072	0	6	No_Report	Stim	9999
122.87029	0	6	No_Report	Eval	9999
125.020131	0	2	No_Report	Stim	9999
132.369618	0	2	No_Report	Eval	9999
135.519391	0	4	No_Report	Stim	9999
142.852145	0	4	No_Report	Eval	9999
145.518681	0	5	Report	Stim	4
152.843167	0	5	Report	Eval	4
155.517904	0	2	No_Report	Stim	9999
162.859076	0	2	No_Report	Eval	9999
165.525546	0	3	Report	Stim	-1
172.851083	0	3	Report	Eval	-1
175.525818	0	8	No_Report	Stim	9999
182.867044	0	8	No_Report	Eval	9999
185.02518	0	3	Report	Stim	-1
192.349654	0	3	Report	Eval	-1
195.024502	0	3	No_Report	Stim	9999
202.382273	0	3	No_Report	Eval	9999
205.023767	0	1	Report	Stim	-4
212.348218	0	1	Report	Eval	-4
215.023107	0	1	No_Report	Stim	9999
222.372588	0	1	No_Report	Eval	9999
225.022395	0	4	Report	Stim	-2
232.346877	0	4	Report	Eval	-2
235.521644	0	7	No_Report	Stim	9999
242.854469	0	7	No_Report	Eval	9999
245.529279	0	4	Report	Stim	-2
252.853764	0	4	Report	Eval	-2
255.020281	0	6	Report	Stim	1
262.344701	0	6	Report	Eval	1
265.519536	0	6	Report	Stim	4
272.844927	0	6	Report	Eval	4
275.519824	0	8	Report	Stim	1
282.844238	0	8	Report	Eval	1
285.019082	0	5	No_Report	Stim	9999
292.369637	0	5	No_Report	Eval	9999
295.519418	0	1	Report	Stim	-4
302.843896	0	1	Report	Eval	-4
305.518653	0	7	Report	Stim	-3
312.843128	0	7	Report	Eval	-3
315.526261	0	2	Report	Stim	-2
322.850768	0	2	Report	Eval	-2
325.025601	0	5	Report	Stim	1
332.350098	0	5	Report	Eval	1
335.024955	0	4	No_Report	Stim	9999
342.407767	0	4	No_Report	Eval	9999
