onset	duration	color_type	report_type	timing_type	score_eval
35.524185	0	6	Report	Stim	-3
42.849734	0	6	Report	Eval	-3
45.524542	0	7	No_Report	Stim	9999
52.873967	0	7	No_Report	Eval	9999
55.023864	0	3	Report	Stim	-3
62.348343	0	3	Report	Eval	-3
65.523122	0	9	No_Report	Stim	9999
72.872596	0	9	No_Report	Eval	9999
75.530739	0	1	No_Report	Stim	9999
82.871881	0	1	No_Report	Eval	9999
85.02173	0	8	No_Report	Stim	9999
92.37121	0	8	No_Report	Eval	9999
95.020953	0	2	No_Report	Stim	9999
102.370497	0	2	No_Report	Eval	9999
105.020305	0	9	No_Report	Stim	9999
112.369787	0	9	No_Report	Eval	9999
115.027928	0	7	No_Report	Stim	9999
122.38574	0	7	No_Report	Eval	9999
125.018881	0	4	No_Report	Stim	9999
132.351694	0	4	No_Report	Eval	9999
135.518136	0	4	No_Report	Stim	9999
142.89361	0	4	No_Report	Eval	9999
145.018398	0	1	Report	Stim	-3
152.342942	0	1	Report	Eval	-3
155.52605	0	7	No_Report	Stim	9999
162.859856	0	7	No_Report	Eval	9999
165.525333	0	1	Report	Stim	-4
172.850813	0	1	Report	Eval	-4
175.025658	0	9	Report	Stim	2
182.350088	0	9	Report	Eval	2
185.024893	0	6	No_Report	Stim	9999
192.374407	0	6	No_Report	Eval	9999
195.024234	0	5	Report	Stim	1
202.348658	0	5	Report	Eval	1
205.523486	0	8	No_Report	Stim	9999
212.872962	0	8	No_Report	Eval	9999
215.022766	0	8	No_Report	Stim	9999
222.355624	0	8	No_Report	Eval	9999
225.02204	0	6	Report	Stim	2
232.346575	0	6	Report	Eval	2
235.021386	0	1	No_Report	Stim	9999
242.36345	0	1	No_Report	Eval	9999
245.521581	0	5	Report	Stim	-3
252.84612	0	5	Report	Eval	-3
255.520867	0	2	Report	Stim	-4
262.845335	0	2	Report	Eval	-4
265.520217	0	3	No_Report	Stim	9999
272.877938	0	3	No_Report	Eval	9999
275.519504	0	3	Report	Stim	4
282.843922	0	3	Report	Eval	4
285.518795	0	1	No_Report	Stim	9999
292.851606	0	1	No_Report	Eval	9999
295.518082	0	6	Report	Stim	-2
302.84256	0	6	Report	Eval	-2
305.525652	0	4	Report	Stim	-1
312.850103	0	4	Report	Eval	-1
315.524928	0	8	Report	Stim	-4
322.849417	0	8	Report	Eval	-4
325.024249	0	4	No_Report	Stim	9999
332.373794	0	4	No_Report	Eval	9999
335.523563	0	9	No_Report	Stim	9999
342.87404	0	9	No_Report	Eval	9999
345.523789	0	5	No_Report	Stim	9999
352.873328	0	5	No_Report	Eval	9999
355.023181	0	3	No_Report	Stim	9999
362.364325	0	3	No_Report	Eval	9999
365.02247	0	7	No_Report	Stim	9999
372.355213	0	7	No_Report	Eval	9999
375.021689	0	7	Report	Stim	4
382.346234	0	7	Report	Eval	4
385.52095	0	9	Report	Stim	-1
392.845484	0	9	Report	Eval	-1
395.020266	0	4	Report	Stim	-4
402.34481	0	4	Report	Eval	-4
405.019557	0	3	Report	Stim	1
412.3441	0	3	Report	Eval	1
415.018848	0	2	Report	Stim	-2
422.343383	0	2	Report	Eval	-2
