onset	duration	color_type	report_type	timing_type	score_eval
35.530581	0	5	Report	Stim	-3
42.855155	0	5	Report	Eval	-3
45.021624	0	4	Report	Stim	3
52.346134	0	4	Report	Eval	3
55.520919	0	7	Report	Stim	-4
62.845481	0	7	Report	Eval	-4
65.02035	0	3	No_Report	Stim	9999
72.369862	0	3	No_Report	Eval	9999
75.01964	0	8	Report	Stim	-2
82.344152	0	8	Report	Eval	-2
85.518933	0	8	Report	Stim	4
92.843506	0	8	Report	Eval	4
95.51833	0	9	Report	Stim	2
102.842792	0	9	Report	Eval	2
105.525915	0	4	Report	Stim	-4
112.85051	0	4	Report	Eval	-4
115.025368	0	9	No_Report	Stim	9999
122.374794	0	9	No_Report	Eval	9999
125.024625	0	2	Report	Stim	-4
132.34922	0	2	Report	Eval	-4
135.53234	0	2	Report	Stim	4
142.856856	0	2	Report	Eval	4
145.023374	0	7	No_Report	Stim	9999
152.372881	0	7	No_Report	Eval	9999
155.022718	0	2	Report	Stim	-4
162.347233	0	2	Report	Eval	-4
165.522018	0	9	No_Report	Stim	9999
172.872529	0	9	No_Report	Eval	9999
175.022393	0	6	Report	Stim	-4
182.355169	0	6	Report	Eval	-4
185.521694	0	3	Report	Stim	-4
192.84621	0	3	Report	Eval	-4
195.52103	0	3	No_Report	Stim	9999
202.86221	0	3	No_Report	Eval	9999
205.520313	0	1	Report	Stim	-3
212.84488	0	1	Report	Eval	-3
215.019681	0	1	No_Report	Stim	9999
222.360917	0	1	No_Report	Eval	9999
225.519042	0	2	Report	Stim	3
232.843552	0	2	Report	Eval	3
235.518381	0	6	Report	Stim	-4
242.84283	0	6	Report	Eval	-4
245.026036	0	1	Report	Stim	-4
252.350552	0	1	Report	Eval	-4
255.025358	0	5	No_Report	Stim	9999
262.374935	0	5	No_Report	Eval	9999
265.524718	0	8	No_Report	Stim	9999
272.875239	0	8	No_Report	Eval	9999
275.525013	0	4	No_Report	Stim	9999
282.874576	0	4	No_Report	Eval	9999
285.524311	0	5	No_Report	Stim	9999
292.873912	0	5	No_Report	Eval	9999
295.02369	0	5	No_Report	Stim	9999
302.37328	0	5	No_Report	Eval	9999
305.523069	0	1	Report	Stim	-4
312.847485	0	1	Report	Eval	-4
315.022391	0	3	No_Report	Stim	9999
322.36362	0	3	No_Report	Eval	9999
325.021777	0	5	Report	Stim	2
332.346293	0	5	Report	Eval	2
335.521078	0	2	No_Report	Stim	9999
342.862188	0	2	No_Report	Eval	9999
345.020394	0	4	Report	Stim	-2
352.344963	0	4	Report	Eval	-2
355.019744	0	3	Report	Stim	2
362.344251	0	3	Report	Eval	2
365.519031	0	6	No_Report	Stim	9999
372.861207	0	6	No_Report	Eval	9999
375.019412	0	9	No_Report	Stim	9999
382.360642	0	9	No_Report	Eval	9999
385.518691	0	7	No_Report	Stim	9999
392.859943	0	7	No_Report	Eval	9999
395.026469	0	9	Report	Stim	-1
402.350911	0	9	Report	Eval	-1
405.525776	0	1	No_Report	Stim	9999
412.858621	0	1	No_Report	Eval	9999
415.025092	0	8	Report	Stim	2
422.34957	0	8	Report	Eval	2
425.024422	0	6	No_Report	Stim	9999
432.365587	0	6	No_Report	Eval	9999
435.023814	0	7	Report	Stim	3
442.348335	0	7	Report	Eval	3
445.523118	0	6	No_Report	Stim	9999
452.864303	0	6	No_Report	Eval	9999
455.022488	0	4	No_Report	Stim	9999
462.36367	0	4	No_Report	Eval	9999
465.521791	0	8	Report	Stim	-4
472.846252	0	8	Report	Eval	-4
475.521132	0	3	No_Report	Stim	9999
482.895554	0	3	No_Report	Eval	9999
485.520467	0	9	No_Report	Stim	9999
492.853312	0	9	No_Report	Eval	9999
495.519807	0	5	No_Report	Stim	9999
502.860985	0	5	No_Report	Eval	9999
505.019175	0	3	No_Report	Stim	9999
512.368685	0	3	No_Report	Eval	9999
515.518417	0	7	Report	Stim	-4
522.842995	0	7	Report	Eval	-4
525.017767	0	7	No_Report	Stim	9999
532.40903	0	7	No_Report	Eval	9999
535.525427	0	5	Report	Stim	1
542.849998	0	5	Report	Eval	1
545.533097	0	9	Report	Stim	9000
552.884581	0	9	Report	Eval	9000
555.025196	0	9	No_Report	Stim	9999
562.357981	0	9	No_Report	Eval	9999
565.02447	0	8	No_Report	Stim	9999
572.400044	0	8	No_Report	Eval	9999
575.02487	0	7	Report	Stim	1
