onset	duration	color_type	report_type	timing_type	score_eval
35.525149	0	1	Report	Stim	-3
42.849544	0	1	Report	Eval	-3
45.024412	0	8	Report	Stim	1
52.348949	0	8	Report	Eval	1
55.023765	0	7	No_Report	Stim	9999
62.398236	0	7	No_Report	Eval	9999
65.023047	0	1	No_Report	Stim	9999
72.355865	0	1	No_Report	Eval	9999
75.022267	0	9	No_Report	Stim	9999
82.363467	0	9	No_Report	Eval	9999
85.522526	0	2	No_Report	Stim	9999
92.863735	0	2	No_Report	Eval	9999
95.021913	0	2	Report	Stim	4
102.346326	0	2	Report	Eval	4
105.521095	0	1	No_Report	Stim	9000
112.862263	0	1	No_Report	Eval	9000
115.520457	0	6	No_Report	Stim	9000
122.861596	0	6	No_Report	Eval	9000
125.019777	0	2	No_Report	Stim	9999
132.360923	0	2	No_Report	Eval	9999
135.520034	0	4	No_Report	Stim	9999
142.861174	0	4	No_Report	Eval	9999
145.519275	0	5	Report	Stim	3
152.843797	0	5	Report	Eval	3
155.518611	0	2	No_Report	Stim	9999
162.909749	0	2	No_Report	Eval	9999
165.526232	0	3	Report	Stim	-3
172.850708	0	3	Report	Eval	-3
175.525478	0	8	No_Report	Stim	9999
182.866578	0	8	No_Report	Eval	9999
185.024779	0	3	Report	Stim	-2
192.349319	0	3	Report	Eval	-2
195.024053	0	3	No_Report	Stim	9999
202.365274	0	3	No_Report	Eval	9999
205.023366	0	1	Report	Stim	-3
212.347894	0	1	Report	Eval	-3
215.022709	0	1	No_Report	Stim	9999
222.363781	0	1	No_Report	Eval	9999
225.021991	0	4	Report	Stim	-4
232.346416	0	4	Report	Eval	-4
235.521185	0	7	No_Report	Stim	9999
242.863321	0	7	No_Report	Eval	9999
245.521532	0	4	Report	Stim	-3
252.846011	0	4	Report	Eval	-3
255.020815	0	6	Report	Stim	-2
262.345341	0	6	Report	Eval	-2
265.520055	0	6	Report	Stim	4
272.844587	0	6	Report	Eval	4
275.519404	0	8	Report	Stim	-2
282.843877	0	8	Report	Eval	-2
285.018724	0	5	No_Report	Stim	9999
292.368202	0	5	No_Report	Eval	9999
295.526308	0	1	Report	Stim	-3
302.850742	0	1	Report	Eval	-3
305.525551	0	7	Report	Stim	-4
312.850076	0	7	Report	Eval	-4
315.524824	0	2	Report	Stim	-4
322.849317	0	2	Report	Eval	-4
325.024208	0	5	Report	Stim	-3
332.348687	0	5	Report	Eval	-3
335.023496	0	4	No_Report	Stim	9999
342.36564	0	4	No_Report	Eval	9999
345.023784	0	8	No_Report	Stim	9000
352.36493	0	8	No_Report	Eval	9000
355.023075	0	6	No_Report	Stim	9000
362.364221	0	6	No_Report	Eval	9000
365.522324	0	9	No_Report	Stim	9999
372.863467	0	9	No_Report	Eval	9999
375.021587	0	1	Report	Stim	3
382.346053	0	1	Report	Eval	3
385.020883	0	2	Report	Stim	1
392.353748	0	2	Report	Eval	1
395.021225	0	6	Report	Stim	-1
402.345642	0	6	Report	Eval	-1
405.020513	0	7	Report	Stim	2
412.344992	0	7	Report	Eval	2
415.019735	0	7	No_Report	Stim	9999
422.369278	0	7	No_Report	Eval	9999
425.019091	0	9	No_Report	Stim	9999
432.368565	0	9	No_Report	Eval	9999
435.518345	0	8	No_Report	Stim	9999
442.852157	0	8	No_Report	Eval	9999
445.518631	0	1	No_Report	Stim	9999
452.884777	0	1	No_Report	Eval	9999
455.526253	0	5	No_Report	Stim	9000
462.859003	0	5	No_Report	Eval	9000
465.525539	0	3	Report	Stim	3
472.850022	0	3	Report	Eval	3
475.024809	0	2	No_Report	Stim	9999
482.366011	0	2	No_Report	Eval	9999
485.524121	0	7	No_Report	Stim	9999
492.865196	0	7	No_Report	Eval	9999
495.023386	0	8	Report	Stim	-1
502.347857	0	8	Report	Eval	-1
505.522626	0	9	Report	Stim	1
512.847104	0	9	Report	Eval	1
515.521924	0	9	No_Report	Stim	9999
522.904793	0	9	No_Report	Eval	9999
525.521195	0	4	No_Report	Stim	9999
532.862345	0	4	No_Report	Eval	9999
535.020597	0	4	Report	Stim	4
542.34607	0	4	Report	Eval	4
545.020832	0	1	No_Report	Stim	9999
552.37036	0	1	No_Report	Eval	9999
555.520075	0	3	No_Report	Stim	9999
562.869611	0	3	No_Report	Eval	9999
565.519349	0	6	No_Report	Stim	9999
572.868902	0	6	No_Report	Eval	9999
575.018667	0	3	Report	Stim	1
582.343179	0	3	Report	Eval	1
585.02637	0	5	No_Report	Stim	9999
592.367511	0	5	No_Report	Eval	9999
595.525562	0	8	Report	Stim	-1
602.850041	0	8	Report	Eval	-1
605.524913	0	2	Report	Stim	1
612.849389	0	2	Report	Eval	1
615.024224	0	8	No_Report	Stim	9000
622.373708	0	8	No_Report	Eval	9000
625.023465	0	8	Report	Stim	4
632.347956	0	8	Report	Eval	4
635.522703	0	4	Report	Stim	-2
642.848187	0	4	Report	Eval	-2
645.023095	0	3	No_Report	Stim	9999
652.372576	0	3	No_Report	Eval	9999
655.52235	0	7	Report	Stim	1
662.846771	0	7	Report	Eval	1
