onset	duration	color_type	report_type	timing_type	score_eval
35.521012	0	1	Report	Stim	-4
42.846035	0	1	Report	Eval	-4
45.020715	0	8	Report	Stim	2
52.345628	0	8	Report	Eval	2
55.020238	0	7	No_Report	Stim	9999
62.370145	0	7	No_Report	Eval	9999
65.019752	0	1	No_Report	Stim	9999
72.368666	0	1	No_Report	Eval	9999
75.01927	0	9	No_Report	Stim	9999
82.360792	0	9	No_Report	Eval	9999
85.518715	0	2	No_Report	Stim	9999
92.901957	0	2	No_Report	Eval	9999
95.018308	0	2	Report	Stim	4
102.343224	0	2	Report	Eval	4
105.517756	0	1	No_Report	Stim	9999
112.867666	0	1	No_Report	Eval	9999
115.525524	0	6	No_Report	Stim	9000
122.892079	0	6	No_Report	Eval	9000
125.025196	0	2	No_Report	Stim	9000
132.383441	0	2	No_Report	Eval	9000
135.524641	0	4	No_Report	Stim	9000
142.874555	0	4	No_Report	Eval	9000
145.524105	0	5	Report	Stim	3
152.849082	0	5	Report	Eval	3
155.523613	0	2	No_Report	Stim	9999
162.872596	0	2	No_Report	Eval	9999
165.523107	0	3	Report	Stim	1
172.847115	0	3	Report	Eval	1
175.521719	0	8	No_Report	Stim	9999
182.871633	0	8	No_Report	Eval	9999
185.021315	0	3	Report	Stim	-4
192.346225	0	3	Report	Eval	-4
195.020824	0	3	No_Report	Stim	9999
202.37074	0	3	No_Report	Eval	9999
205.020249	0	1	Report	Stim	-4
212.345196	0	1	Report	Eval	-4
215.019788	0	1	No_Report	Stim	9999
222.369725	0	1	No_Report	Eval	9999
225.01939	0	4	Report	Stim	-3
232.343226	0	4	Report	Eval	-3
235.518776	0	7	No_Report	Stim	9999
242.867745	0	7	No_Report	Eval	9999
245.526578	0	4	Report	Stim	1
252.850552	0	4	Report	Eval	1
255.025277	0	6	Report	Stim	9000
262.366776	0	6	Report	Eval	9000
265.524626	0	6	Report	Stim	4
272.849587	0	6	Report	Eval	4
275.524194	0	8	Report	Stim	2
282.849095	0	8	Report	Eval	2
285.023836	0	5	No_Report	Stim	9999
292.373743	0	5	No_Report	Eval	9999
295.523277	0	1	Report	Stim	-3
302.848126	0	1	Report	Eval	-3
305.522797	0	7	Report	Stim	-4
312.846715	0	7	Report	Eval	-4
315.522304	0	2	Report	Stim	-2
322.846152	0	2	Report	Eval	-2
325.021908	0	5	Report	Stim	-3
332.345828	0	5	Report	Eval	-3
335.020431	0	4	No_Report	Stim	9999
342.371243	0	4	No_Report	Eval	9999
345.029214	0	8	No_Report	Stim	9999
352.387455	0	8	No_Report	Eval	9999
355.02037	0	6	No_Report	Stim	9999
362.386957	0	6	No_Report	Eval	9999
365.519865	0	9	No_Report	Stim	9999
372.861495	0	9	No_Report	Eval	9999
375.019501	0	1	Report	Stim	3
382.343344	0	1	Report	Eval	3
385.019024	0	2	Report	Stim	2
392.342827	0	2	Report	Eval	2
395.018499	0	6	Report	Stim	-1
402.342379	0	6	Report	Eval	-1
405.026312	0	7	Report	Stim	3
412.350263	0	7	Report	Eval	3
415.024846	0	7	No_Report	Stim	9999
422.374727	0	7	No_Report	Eval	9999
425.024435	0	9	No_Report	Stim	9999
432.374346	0	9	No_Report	Eval	9999
435.523802	0	8	No_Report	Stim	9999
442.873787	0	8	No_Report	Eval	9999
445.523395	0	1	No_Report	Stim	9999
452.873308	0	1	No_Report	Eval	9999
455.522917	0	5	No_Report	Stim	9999
462.889491	0	5	No_Report	Eval	9999
465.522343	0	3	Report	Stim	3
472.846261	0	3	Report	Eval	3
475.022029	0	2	No_Report	Stim	9999
482.379168	0	2	No_Report	Eval	9999
485.520474	0	7	No_Report	Stim	9999
492.862051	0	7	No_Report	Eval	9999
495.020062	0	8	Report	Stim	3
502.344897	0	8	Report	Eval	3
505.519507	0	9	Report	Stim	3
512.844424	0	9	Report	Eval	3
515.518962	0	9	No_Report	Stim	9999
522.860547	0	9	No_Report	Eval	9999
525.518544	0	4	No_Report	Stim	9999
532.876719	0	4	No_Report	Eval	9999
535.026409	0	4	Report	Stim	4
542.350311	0	4	Report	Eval	4
545.025908	0	1	No_Report	Stim	9999
552.391566	0	1	No_Report	Eval	9999
555.525384	0	3	No_Report	Stim	9999
