onset	duration	color_type	report_type	timing_type	score_eval
35.020246	0	2	No_Report	Stim	9999
42.369731	0	2	No_Report	Eval	9999
45.527843	0	8	Report	Stim	-1
52.852324	0	8	Report	Eval	-1
55.518707	0	5	No_Report	Stim	9999
62.868278	0	5	No_Report	Eval	9999
65.518042	0	1	No_Report	Stim	9999
72.867515	0	1	No_Report	Eval	9999
75.025759	0	8	No_Report	Stim	9999
82.367906	0	8	No_Report	Eval	9999
85.526012	0	4	Report	Stim	-2
92.850498	0	4	Report	Eval	-2
95.525308	0	8	No_Report	Stim	9999
102.866389	0	8	No_Report	Eval	9999
105.52454	0	6	Report	Stim	2
112.849034	0	6	Report	Eval	2
115.023929	0	4	Report	Stim	2
122.348346	0	4	Report	Eval	2
125.523188	0	7	No_Report	Stim	9999
132.864338	0	7	No_Report	Eval	9999
135.022516	0	3	Report	Stim	1
142.346996	0	3	Report	Eval	1
145.021748	0	9	Report	Stim	-3
152.346291	0	9	Report	Eval	-3
155.021038	0	8	Report	Stim	2
162.345588	0	8	Report	Eval	2
165.020399	0	7	No_Report	Stim	9999
172.369877	0	7	No_Report	Eval	9999
175.519659	0	8	Report	Stim	3
182.845136	0	8	Report	Eval	3
185.020987	0	8	No_Report	Stim	9999
192.370469	0	8	No_Report	Eval	9999
195.520239	0	9	No_Report	Stim	9999
202.869666	0	9	No_Report	Eval	9999
205.019507	0	1	Report	Stim	4
212.344054	0	1	Report	Eval	4
215.518827	0	3	Report	Stim	-4
222.843243	0	3	Report	Eval	-4
225.526456	0	4	Report	Stim	4
232.850878	0	4	Report	Eval	4
235.034036	0	4	No_Report	Stim	9999
242.36693	0	4	No_Report	Eval	9999
245.524965	0	2	Report	Stim	1
252.849473	0	2	Report	Eval	1
255.524336	0	9	Report	Stim	2
262.848723	0	9	Report	Eval	2
265.023662	0	6	No_Report	Stim	9999
272.373144	0	6	No_Report	Eval	9999
275.522854	0	8	No_Report	Stim	9999
282.873401	0	8	No_Report	Eval	9999
285.023253	0	3	Report	Stim	1
292.347733	0	3	Report	Eval	1
295.522511	0	3	Report	Stim	4
302.846929	0	3	Report	Eval	4
305.021837	0	2	Report	Stim	2
312.34626	0	2	Report	Eval	2
315.021135	0	7	Report	Stim	-4
322.345571	0	7	Report	Eval	-4
325.528723	0	7	Report	Stim	4
332.85321	0	7	Report	Eval	4
335.019641	0	9	No_Report	Stim	9999
342.352459	0	9	No_Report	Eval	9999
345.51892	0	4	No_Report	Stim	9999
