onset	duration	color_type	report_type	timing_type	score_eval
35.52219	0	1	Report	Stim	-4
42.846743	0	1	Report	Eval	-4
45.021524	0	8	Report	Stim	3
52.346071	0	8	Report	Eval	3
55.021832	0	7	No_Report	Stim	9999
62.36302	0	7	No_Report	Eval	9999
65.021171	0	1	No_Report	Stim	9999
72.362258	0	1	No_Report	Eval	9999
75.020456	0	9	No_Report	Stim	9999
82.353267	0	9	No_Report	Eval	9999
85.527967	0	2	No_Report	Stim	9999
92.869187	0	2	No_Report	Eval	9999
95.019032	0	2	Report	Stim	4
102.343465	0	2	Report	Eval	4
105.518231	0	1	No_Report	Stim	9999
112.851019	0	1	No_Report	Eval	9999
115.525908	0	6	No_Report	Stim	9999
122.883649	0	6	No_Report	Eval	9999
125.025233	0	2	No_Report	Stim	9999
132.357977	0	2	No_Report	Eval	9999
135.524436	0	4	No_Report	Stim	9999
142.89891	0	4	No_Report	Eval	9999
145.523701	0	5	Report	Stim	3
152.848256	0	5	Report	Eval	3
155.522995	0	2	No_Report	Stim	9999
162.865216	0	2	No_Report	Eval	9999
165.523356	0	3	Report	Stim	1
172.847838	0	3	Report	Eval	1
175.5226	0	8	No_Report	Stim	9999
182.864788	0	8	No_Report	Eval	9999
185.022918	0	3	Report	Stim	1
192.347391	0	3	Report	Eval	1
195.022262	0	3	No_Report	Stim	9999
202.363407	0	3	No_Report	Eval	9999
205.021546	0	1	Report	Stim	-4
212.346033	0	1	Report	Eval	-4
215.020779	0	1	No_Report	Stim	9999
222.403645	0	1	No_Report	Eval	9999
225.02013	0	4	Report	Stim	-4
232.344611	0	4	Report	Eval	-4
235.519382	0	7	No_Report	Stim	9999
242.860526	0	7	No_Report	Eval	9999
245.518674	0	4	Report	Stim	1
252.843105	0	4	Report	Eval	1
255.017999	0	6	Report	Stim	1
262.343416	0	6	Report	Eval	1
265.526581	0	6	Report	Stim	4
272.851065	0	6	Report	Eval	4
275.525869	0	8	Report	Stim	-1
282.850296	0	8	Report	Eval	-1
285.041863	0	5	No_Report	Stim	9999
292.424669	0	5	No_Report	Eval	9999
295.524345	0	1	Report	Stim	-3
302.848869	0	1	Report	Eval	-3
305.523698	0	7	Report	Stim	-4
312.848219	0	7	Report	Eval	-4
315.522941	0	2	Report	Stim	-2
322.847448	0	2	Report	Eval	-2
325.022356	0	5	Report	Stim	-2
332.346773	0	5	Report	Eval	-2
335.021642	0	4	No_Report	Stim	9999
342.371037	0	4	No_Report	Eval	9999
345.020935	0	8	No_Report	Stim	9999
352.370364	0	8	No_Report	Eval	9999
355.020155	0	6	No_Report	Stim	9999
362.370637	0	6	No_Report	Eval	9999
365.520425	0	9	No_Report	Stim	9999
372.869879	0	9	No_Report	Eval	9999
375.01973	0	1	Report	Stim	-3
382.344281	0	1	Report	Eval	-3
385.019018	0	2	Report	Stim	-3
392.343574	0	2	Report	Eval	-3
395.01838	0	6	Report	Stim	-1
402.351197	0	6	Report	Eval	-1
405.026003	0	7	Report	Stim	3
412.350405	0	7	Report	Eval	3
415.025295	0	7	No_Report	Stim	9999
422.383106	0	7	No_Report	Eval	9999
425.024581	0	9	No_Report	Stim	9999
432.382391	0	9	No_Report	Eval	9999
435.523774	0	8	No_Report	Stim	9999
442.87331	0	8	No_Report	Eval	9999
445.524038	0	1	No_Report	Stim	9999
452.873606	0	1	No_Report	Eval	9999
455.523416	0	5	No_Report	Stim	9999
462.857227	0	5	No_Report	Eval	9999
465.523652	0	3	Report	Stim	3
472.848182	0	3	Report	Eval	3
475.023034	0	2	No_Report	Stim	9999
482.372509	0	2	No_Report	Eval	9999
485.522235	0	7	No_Report	Stim	9999
492.871761	0	7	No_Report	Eval	9999
495.021561	0	8	Report	Stim	1
502.34609	0	8	Report	Eval	1
505.520864	0	9	Report	Stim	-3
512.845341	0	9	Report	Eval	-3
515.520104	0	9	No_Report	Stim	9999
522.869581	0	9	No_Report	Eval	9999
525.51937	0	4	No_Report	Stim	9999
532.852185	0	4	No_Report	Eval	9999
535.018764	0	4	Report	Stim	4
542.343246	0	4	Report	Eval	4
545.018055	0	1	No_Report	Stim	9999
552.367535	0	1	No_Report	Eval	9999
555.525638	0	3	No_Report	Stim	9999
562.876124	0	3	No_Report	Eval	9999
565.525868	0	6	No_Report	Stim	9999
572.87534	0	6	No_Report	Eval	9999
575.025259	0	3	Report	Stim	1
582.349692	0	3	Report	Eval	1
585.024472	0	5	No_Report	Stim	9999
592.373955	0	5	No_Report	Eval	9999
595.523689	0	8	Report	Stim	-4
602.84823	0	8	Report	Eval	-4
605.523039	0	2	Report	Stim	-1
612.847569	0	2	Report	Eval	-1
615.02237	0	8	No_Report	Stim	9999
622.355227	0	8	No_Report	Eval	9999
625.021706	0	8	Report	Stim	4
632.346142	0	8	Report	Eval	4
635.520958	0	4	Report	Stim	-4
642.845442	0	4	Report	Eval	-4
645.02021	0	3	No_Report	Stim	9999
652.353037	0	3	No_Report	Eval	9999
655.51954	0	7	Report	Stim	-2
662.844018	0	7	Report	Eval	-2
665.019867	0	6	No_Report	Stim	9999
672.352608	0	6	No_Report	Eval	9999
675.019151	0	4	No_Report	Stim	9999
682.393627	0	4	No_Report	Eval	9999
685.026779	0	9	Report	Stim	-3
692.351191	0	9	Report	Eval	-3
695.525975	0	3	No_Report	Stim	9999
702.87551	0	3	No_Report	Eval	9999
705.52532	0	9	Report	Stim	-2
712.8498	0	9	Report	Eval	-2
715.024643	0	7	Report	Stim	-4
722.350122	0	7	Report	Eval	-4
725.024931	0	3	No_Report	Stim	9999
732.374409	0	3	No_Report	Eval	9999
735.024221	0	4	Report	Stim	3
742.348705	0	4	Report	Eval	3
745.023515	0	2	Report	Stim	2
752.347925	0	2	Report	Eval	2
755.022805	0	9	Report	Stim	3
762.355562	0	9	Report	Eval	3
765.522013	0	6	Report	Stim	-1
772.84746	0	6	Report	Eval	-1
775.522345	0	5	No_Report	Stim	9999
782.871827	0	5	No_Report	Eval	9999
785.021615	0	5	No_Report	Stim	9999
792.362816	0	5	No_Report	Eval	9999
795.020959	0	9	No_Report	Stim	9999
802.37877	0	9	No_Report	Eval	9999
805.520159	0	5	Report	Stim	-4
812.844614	0	5	Report	Eval	-4
815.019538	0	7	No_Report	Stim	9999
822.360683	0	7	No_Report	Eval	9999
825.018828	0	5	Report	Stim	2
832.343313	0	5	Report	Eval	2
835.018053	0	6	Report	Stim	2
842.342602	0	6	Report	Eval	2
