onset	duration	color_type	report_type	timing_type	score_eval
35.533913	0	1	Report	Stim	-4
42.858463	0	1	Report	Eval	-4
45.024976	0	8	Report	Stim	1
52.357788	0	8	Report	Eval	1
55.024159	0	7	No_Report	Stim	9999
62.365408	0	7	No_Report	Eval	9999
65.023489	0	1	No_Report	Stim	9999
72.364698	0	1	No_Report	Eval	9999
75.0228	0	9	No_Report	Stim	9999
82.363985	0	9	No_Report	Eval	9999
85.522099	0	2	No_Report	Stim	9999
92.863239	0	2	No_Report	Eval	9999
95.02142	0	2	Report	Stim	4
102.346888	0	2	Report	Eval	4
105.521614	0	1	No_Report	Stim	9999
112.879435	0	1	No_Report	Eval	9999
115.520903	0	6	No_Report	Stim	9999
122.870363	0	6	No_Report	Eval	9999
125.020296	0	2	No_Report	Stim	9999
132.369769	0	2	No_Report	Eval	9999
135.519549	0	4	No_Report	Stim	9999
142.869027	0	4	No_Report	Eval	9999
145.518775	0	5	Report	Stim	4
152.843314	0	5	Report	Eval	4
155.518123	0	2	No_Report	Stim	9999
162.867605	0	2	No_Report	Eval	9999
165.525751	0	3	Report	Stim	1
172.851229	0	3	Report	Eval	1
175.52497	0	8	No_Report	Stim	9999
182.867168	0	8	No_Report	Eval	9999
185.025364	0	3	Report	Stim	-2
192.349842	0	3	Report	Eval	-2
195.024604	0	3	No_Report	Stim	9999
202.366731	0	3	No_Report	Eval	9999
205.033275	0	1	Report	Stim	-4
212.357708	0	1	Report	Eval	-4
215.024236	0	1	No_Report	Stim	9999
222.381964	0	1	No_Report	Eval	9999
225.023522	0	4	Report	Stim	-4
232.348005	0	4	Report	Eval	-4
235.522776	0	7	No_Report	Stim	9999
242.872256	0	7	No_Report	Eval	9999
245.522067	0	4	Report	Stim	1
252.846545	0	4	Report	Eval	1
255.021342	0	6	Report	Stim	1
262.345875	0	6	Report	Eval	1
265.520571	0	6	Report	Stim	4
272.845126	0	6	Report	Eval	4
275.519875	0	8	Report	Stim	-1
282.869413	0	8	Report	Eval	-1
285.019262	0	5	No_Report	Stim	9999
292.36869	0	5	No_Report	Eval	9999
295.518516	0	1	Report	Stim	-4
302.852274	0	1	Report	Eval	-4
305.517811	0	7	Report	Stim	-4
312.843236	0	7	Report	Eval	-4
315.526432	0	2	Report	Stim	-3
322.850855	0	2	Report	Eval	-3
325.025674	0	5	Report	Stim	-3
332.350189	0	5	Report	Eval	-3
335.024997	0	4	No_Report	Stim	9999
342.37448	0	4	No_Report	Eval	9999
345.024335	0	8	No_Report	Stim	9000
352.373813	0	8	No_Report	Eval	9000
355.023628	0	6	No_Report	Stim	9999
362.373105	0	6	No_Report	Eval	9999
365.522829	0	9	No_Report	Stim	9999
372.87236	0	9	No_Report	Eval	9999
375.022162	0	1	Report	Stim	2
382.346689	0	1	Report	Eval	2
385.021419	0	2	Report	Stim	1
392.354313	0	2	Report	Eval	1
395.020787	0	6	Report	Stim	-4
402.345221	0	6	Report	Eval	-4
405.028356	0	7	Report	Stim	1
412.35389	0	7	Report	Eval	1
415.020317	0	7	No_Report	Stim	9999
422.369831	0	7	No_Report	Eval	9999
425.019657	0	9	No_Report	Stim	9999
432.369131	0	9	No_Report	Eval	9999
435.519909	0	8	No_Report	Stim	9999
442.868391	0	8	No_Report	Eval	9999
445.519196	0	1	No_Report	Stim	9999
452.868678	0	1	No_Report	Eval	9999
455.518476	0	5	No_Report	Stim	9999
462.892969	0	5	No_Report	Eval	9999
465.526113	0	3	Report	Stim	3
472.850591	0	3	Report	Eval	3
475.025438	0	2	No_Report	Stim	9999
482.374915	0	2	No_Report	Eval	9999
485.524692	0	7	No_Report	Stim	9999
492.874171	0	7	No_Report	Eval	9999
495.023956	0	8	Report	Stim	2
502.348499	0	8	Report	Eval	2
505.523199	0	9	Report	Stim	1
512.848754	0	9	Report	Eval	1
515.523568	0	9	No_Report	Stim	9999
522.873045	0	9	No_Report	Eval	9999
525.522854	0	4	No_Report	Stim	9999
532.872332	0	4	No_Report	Eval	9999
535.022131	0	4	Report	Stim	4
542.346662	0	4	Report	Eval	4
545.021405	0	1	No_Report	Stim	9999
552.370892	0	1	No_Report	Eval	9999
555.520723	0	3	No_Report	Stim	9999
562.870201	0	3	No_Report	Eval	9999
565.528333	0	6	No_Report	Stim	9999
572.886159	0	6	No_Report	Eval	9999
575.019275	0	3	Report	Stim	-1
582.343817	0	3	Report	Eval	-1
585.018631	0	5	No_Report	Stim	9999
592.351378	0	5	No_Report	Eval	9999
595.517825	0	8	Report	Stim	-3
602.842362	0	8	Report	Eval	-3
605.525508	0	2	Report	Stim	-1
612.85091	0	2	Report	Eval	-1
615.025834	0	8	No_Report	Stim	9999
622.375309	0	8	No_Report	Eval	9999
625.025046	0	8	Report	Stim	4
632.349535	0	8	Report	Eval	4
635.524378	0	4	Report	Stim	-4
642.84886	0	4	Report	Eval	-4
645.023705	0	3	No_Report	Stim	9999
652.381429	0	3	No_Report	Eval	9999
655.522896	0	7	Report	Stim	1
662.847386	0	7	Report	Eval	1
665.022218	0	6	No_Report	Stim	9999
672.371685	0	6	No_Report	Eval	9999
675.021519	0	4	No_Report	Stim	9999
682.387651	0	4	No_Report	Eval	9999
685.020819	0	9	Report	Stim	-4
692.345344	0	9	Report	Eval	-4
695.520118	0	3	No_Report	Stim	9999
702.861264	0	3	No_Report	Eval	9999
705.519361	0	9	Report	Stim	-4
712.845815	0	9	Report	Eval	-4
715.019661	0	7	Report	Stim	-4
722.345153	0	7	Report	Eval	-4
725.020023	0	3	No_Report	Stim	9999
732.361101	0	3	No_Report	Eval	9999
735.019315	0	4	Report	Stim	4
742.343795	0	4	Report	Eval	4
745.026809	0	2	Report	Stim	-3
752.35136	0	2	Report	Eval	-3
