onset	duration	color_type	report_type	timing_type	score_eval
35.525897	0	5	Report	Stim	-2
42.850941	0	5	Report	Eval	-2
45.025704	0	4	Report	Stim	3
52.349741	0	4	Report	Eval	3
55.525264	0	7	Report	Stim	1
62.849368	0	7	Report	Eval	1
65.02408	0	3	No_Report	Stim	9999
72.365788	0	3	No_Report	Eval	9999
75.023722	0	8	Report	Stim	-2
82.348752	0	8	Report	Eval	-2
85.523352	0	8	Report	Stim	4
92.847395	0	8	Report	Eval	4
95.522035	0	9	Report	Stim	2
102.847077	0	9	Report	Eval	2
105.521701	0	4	Report	Stim	-3
112.84683	0	4	Report	Eval	-3
115.021482	0	9	No_Report	Stim	9999
122.362248	0	9	No_Report	Eval	9999
125.021232	0	2	Report	Stim	-2
132.345213	0	2	Report	Eval	-2
135.519802	0	2	Report	Stim	4
142.844852	0	2	Report	Eval	4
145.019572	0	7	No_Report	Stim	9999
152.376935	0	7	No_Report	Eval	9999
155.019221	0	2	Report	Stim	-4
162.34335	0	2	Report	Eval	-4
165.52627	0	9	No_Report	Stim	9999
172.867905	0	9	No_Report	Eval	9999
175.025969	0	6	Report	Stim	-3
182.350067	0	6	Report	Eval	-3
185.525648	0	3	Report	Stim	-1
192.84969	0	3	Report	Eval	-1
195.524297	0	3	No_Report	Stim	9999
202.867001	0	3	No_Report	Eval	9999
205.524033	0	1	Report	Stim	-3
212.849998	0	1	Report	Eval	-3
215.024747	0	1	No_Report	Stim	9999
222.365447	0	1	No_Report	Eval	9999
225.523412	0	2	Report	Stim	1
232.848399	0	2	Report	Eval	1
235.523017	0	6	Report	Stim	-3
242.848152	0	6	Report	Eval	-3
245.022804	0	1	Report	Stim	-3
252.346904	0	1	Report	Eval	-3
255.022556	0	5	No_Report	Stim	9999
262.379925	0	5	No_Report	Eval	9999
265.521115	0	8	No_Report	Stim	9999
272.879553	0	8	No_Report	Eval	9999
275.520816	0	4	No_Report	Stim	9999
282.869832	0	4	No_Report	Eval	9999
285.520564	0	5	No_Report	Stim	9999
292.869552	0	5	No_Report	Eval	9999
295.019325	0	5	No_Report	Stim	9999
302.361027	0	5	No_Report	Eval	9999
305.518948	0	1	Report	Stim	-3
312.843932	0	1	Report	Eval	-3
315.018656	0	3	No_Report	Stim	9999
322.367741	0	3	No_Report	Eval	9999
325.025683	0	5	Report	Stim	1
332.350716	0	5	Report	Eval	1
335.525351	0	2	No_Report	Stim	9999
342.867062	0	2	No_Report	Eval	9999
345.02511	0	4	Report	Stim	1
352.349156	0	4	Report	Eval	1
355.024805	0	3	Report	Stim	2
362.348846	0	3	Report	Eval	2
365.523427	0	6	No_Report	Stim	9999
372.865067	0	6	No_Report	Eval	9999
